"NO","名　　　　称","緯度","経度","住所","面積（�u）","面積（ha）","一時緊急　　　避難地","ブランコ _2連 ","ブランコ_3連","ブランコ_4連","スベリ台","低鉄棒_１連","低鉄棒_２連","低鉄棒_３連","低鉄棒_４連","低鉄棒_５連","シーソー","ジャングルジム","複合遊具_鋼製","砂場","ラダー","健康遊具","ﾌﾟﾚｲｽｶﾙﾌﾟﾁｬｰ","便所","水飲","ベンチ","四阿・ｼｪﾙﾀｰ","駐車場有料施設専用","駐車場","桜_ソメイヨシノ","桜_オオシマザクラ","桜_カンヒザクラ","桜_シダレザクラ","桜_カワズザクラ　","桜_ヤマザクラ","桜_その他","桜_合計","桜_その他品種","景色の良い公園"
"84","獅子口公園","34.83659713","135.706208","枚方市長尾家具町４丁目１５−２０","3346.51","0.335","","","","1","1","","","","","","","1","","1","","","2","1","1","4","","","","9","0","0","0","0","0","0","9","",""
"85","市民の森","34.8654391","135.6898442","枚方市楠葉丘２丁目１０−１","28315.00","2.832","○","","","","","","1","","","","","","1","1","","","","2","1","17","1","","2","50","1","0","0","0","0","3","54","サトザクラ,薄墨桜",""
"86","下田公園","34.85695536","135.6800293","枚方市楠葉並木１丁目１４−３３","1038.10","0.104","","1","","","","","","","","","","","","1","","","","1","","2","","","","2","0","0","0","0","0","0","2","",""
"87","神社公園","34.86709112","135.6896299","枚方市楠葉丘２丁目１８−１","1127.47","0.113","","","","","","","","","","","","","","","","","","1","","3","","","","17","0","0","0","0","0","0","17","",""
"88","翠香園ふれあい公園","34.79981071","135.6367234","枚方市翠香園町８−５","6809.94","0.681","","1","","","1","","1","","","","","","1","1","1","1","","1","2","14","2","","","12","0","0","0","0","0","1","13","",""
"89","スーパーバンク伊加賀公園","34.80742762","135.6241999","枚方市伊加賀西町１−１","1640.00","0.164","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","",""
"90","末広公園","34.79405582","135.6442479","枚方市香里ケ丘８丁目１１−３１","2860.69","0.286","","1","","","1","","","","","","","1","","1","","","","","1","2","","","","2","0","4","0","0","0","3","9","ハクサンオオデマリ",""
"91","杉山手北公園","34.8163286","135.7243308","枚方市杉山手３丁目３２−１６","807.96","0.081","","1","","","1","","","","","","1","","","","","","","","","12","","","","2","0","0","0","0","0","0","2","",""
"92","杉山手中央公園","34.81548027","135.7230984","枚方市杉山手３丁目３６−３９","1406.66","0.141","","","","","","","1","","","","","","1","","","","","","1","3","","","","","","","","","","","","",""
"93","杉山手西公園","34.81884722","135.7219993","枚方市杉山手１丁目３２−１","944.31","0.094","","1","","","1","","","","","","","","","1","1","","","","1","3","","","","","","","","","","","","",""
