NO,名　　　　称,緯度,経度,所在地,面積（㎡）,面積（ha）,一時緊急　　　避難地,ブランコ _2連 ,ブランコ_3連,ブランコ_4連,スベリ台,低鉄棒_１連,低鉄棒_２連,低鉄棒_３連,低鉄棒_４連,低鉄棒_５連,シーソー,ジャングルジム,複合遊具_鋼製,砂場,ラダー,健康遊具,ﾌﾟﾚｲｽｶﾙﾌﾟﾁｬｰ,便所,水飲,ベンチ,四阿・ｼｪﾙﾀｰ,駐車場有料施設専用,駐車場,桜_ソメイヨシノ,桜_オオシマザクラ,桜_カンヒザクラ,桜_シダレザクラ,桜_カワズザクラ　,桜_ヤマザクラ,桜_その他,桜_合計,桜_その他品種,景色の良い公園
44,北山南公園,34.83734722,135.6996198,北山１丁目地内,"2,500.24",0.25,,,,,2,,,,,,,,,,,,,,1,1,1,,,0,0,0,0,0,0,5,5,,
45,北山公園,34.84495691,135.7029991,北山１丁目地内,"20,103.74",2.01,○,1,,,1,,,,,,,,1,1,,,,1,3,16,,,,27,0,0,0,0,0,0,27,ﾔｴｱｹﾎﾞﾉ・ﾊｸｻﾝｵｵﾃﾞﾏﾘ,
46,禁野車塚公園,34.81087654,135.656891,宮之阪５丁目地内,"5,830.95",0.583,,,,,,,,,,,,,1,1,,,,,,4,1,,,,,,,,,,,,
47,禁野本町遺跡公園,34.82163761,135.6606988,中宮北町地内,500.15,0.05,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
48,九頭神廃寺跡公園（西）,34.83940176,135.6727707,牧野本町地内,"1,154.90",0.115,,,,,,,,,,,,,1,,,2,,,,2,1,,,0,0,2,1,0,0,0,3,,
49,楠葉中央公園,34.85941359,135.6807459,楠葉並木２丁目地内,"10,717.03",1.072,○,1,,,,,,,,,,,,1,,,,1,1,49,,,,53,0,0,0,0,0,3,56,ﾔｴｻﾞｸﾗ・ﾊｸｻﾝｵｵﾃﾞﾏﾚ,
50,楠葉中町西公園,34.86915472,135.6800425,楠葉中町地内,842.39,0.084,,1,,,1,,,,,,1,,,1,,,,,1,3,,,,,,,,,,,,,
51,楠葉中町東公園,34.86802615,135.6828279,楠葉中町地内,601.93,0.06,,1,,,,,,,,,1,,,1,,,,,1,3,,,,3,0,0,0,0,0,0,3,,
52,楠葉東公園,34.86072875,135.6918169,楠葉朝日３丁目地内,"26,716.87",2.672,○,,,1,2,,,,,,1,,,1,1,,3,1,2,38,,,,98,0,1,2,0,0,2,103,ヤエザクラ,
53,百済寺跡公園,34.81569279,135.6607627,中宮西之町地内,"21,514.35",2.151,○,1,,,1,,1,,,,1,,,,1,,,1,1,11,,,,28,0,0,0,0,0,0,28,,
54,くにみの丘公園,34.80780408,135.7099953,津田山手１丁目地内,"13,631.44",1.363,○,,,,,,,,,,,,1,,,,,1,1,7,1,,,12,0,0,0,0,0,7,19,サトザクラ,○
55,車谷公園,34.84486006,135.7090602,長尾家具町２丁目地内,"5,537.17",0.554,,,,1,,,,,,,,,2,1,,,,1,1,3,,,,31,0,0,0,0,0,0,31,,
56,車塚公園,34.8335464,135.6690309,車塚1丁目・2丁目地内,"50,164.51",5.016,○,,,,1,,,,,,,,,1,,9,,1,2,25,2,,3,27,15,3,8,28,0,1,82,淡墨桜,
57,桑ヶ谷公園,34.79585598,135.6594299,香里ヶ丘１丁目地内,"12,066.89",1.207,○,,,,,,,,,,,,,,,,,,,2,,,,5,0,0,0,0,0,0,5,,
58,けやき坂公園,34.82529551,135.7019713,長尾谷町２丁目地内,"1,860.03",0.186,,,,1,1,,,,,,,,,1,,,1,,1,6,,,,0,0,0,0,0,10,0,10,,
59,甲須公園,34.82079531,135.6760639,甲斐田新町地内,"2,674.08",0.267,,,,,1,,,,,,,1,,1,,,,,1,5,2,,,4,0,0,0,0,0,0,4,,
60,交北北公園,34.83045842,135.682009,交北３丁目地内,733.44,0.073,,,,,1,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,
61,交北公園,34.8285473,135.6812548,交北４丁目地内,"31,746.00",3.175,○,,,,2,,,,,,,,2,2,,7,,1,1,52,3,,,49,0,0,2,0,9,0,60,,○
62,高野道東公園,34.84713223,135.6991303,高野道２丁目地内,999,0.1,,1,,,1,,,1,,,,,,,,,2,,1,4,,,,3,0,0,0,0,0,0,3,,
