"id","name","name_kana","address","area","area_ha","y","x","is_evacuation_area","ブランコ_2","ブランコ_3","ブランコ_4","すべり台","鉄棒_1","鉄棒_2","鉄棒_3","鉄棒_4","鉄棒_5","シーソー","ジャングルジム","鋼製複合遊具","砂場","ラダー","健康遊具","プレイスカルプチャー(遊戯彫刻)","便所","水飲場","ベンチ","四阿(シェルター)","有料駐車場","無料駐車場","ソメイヨシノ","オオシマザクラ","カンヒザクラ","シダレザクラ","カワズザクラ","ヤマザクラ","桜_その他","桜_合計","桜_その他_品種","is_nice_scenery","english_name","english_address","",""
"035","上島南公園","カミジマミナミコウエン","大阪府枚方市牧野北町6−3","2,839.54","0.28","34.84807492","135.6650949","","","","1","1","","","1","","","1","1","","1","","","","","1","16","","","","64","0","10","0","0","0","0","74","","","","","573-1149","オオサカフ－ヒラカタシ－マキノキタマチ"
"036","上之町公園","カミノチョウコウエン","大阪府枚方市枚方上之町14−11","559.93","0.06","34.80824725","135.6435501","","","","","","","","","","","","","","1","","","","","1","19","","","","2","0","0","0","0","0","0","2","","","","","573-0037","オオサカフ－ヒラカタシ－ヒラカタカミノチョウ"
"037","観月公園","カンゲツコウエン","大阪府枚方市香里ケ丘11丁目2−13","6,307.57","0.63","34.78633738","135.6478115","","","","","","","","","","","","","","","","","","","","","","","","9","0","19","0","0","0","0","28","","","","","573-0084","オオサカフ－ヒラカタシ－コウリガオカ"
"038","観音山公園","カンノンヤマコウエン","大阪府枚方市香里ケ丘12丁目6−16","7,899.21","0.79","34.78889273","135.6532805","","","","","","","","","","","","","","","","3","","","","11","","","","101","0","0","0","0","0","0","101","ヤエザクラ","","","","573-0084","オオサカフ－ヒラカタシ－コウリガオカ"
"039","菊丘公園","キクガオカコウエン","大阪府枚方市菊丘町10−2","751.50","0.08","34.80503675","135.6421191","","","","1","","","","","","","1","","","1","","","1","","","8","","","","","","","","","","","","","","","","573-0091","オオサカフ－ヒラカタシ－キクガオカチョウ"
"040","菊丘東公園","キクガオカヒガシコウエン","大阪府枚方市菊丘町31−6","953.76","0.10","34.80500119","135.6445118","","","","1","1","","","","","","","1","","1","","","3","","1","7","","","","16","0","0","0","0","0","0","16","","","","","573-0091","オオサカフ－ヒラカタシ－キクガオカチョウ"
"041","菊丘南公園","キクガオカミナミコウエン","大阪府枚方市菊丘南町5−2","970.12","0.10","34.79903228","135.6449834","","1","","","1","","1","","","","","","","1","","","2","","1","7","","","","24","0","0","0","0","0","0","24","","","","","573-0092","オオサカフ－ヒラカタシ－キクガオカミナミマチ"
"042","北楠葉公園","キタクズハコウエン","大阪府枚方市北楠葉町36−26","722.65","0.07","34.870496","135.6841328","","1","","","1","","","1","","","","","","1","","","","","1","4","","","","","","","","","","","","","","","","573-1102","オオサカフ－ヒラカタシ－キタクズハチョウ"
"043","北谷川公園","キタタニガワコウエン","大阪府枚方市長尾谷町3丁目8−30","3,004.99","0.30","34.82330656","135.6998255","","1","","","1","","","","","","","1","","","","","","","1","","","","","0","0","0","0","0","0","0","0","","","","","573-0164","オオサカフ－ヒラカタシ－ナガオタニマチ"
"044","北谷川西公園","キタタニガワニシコウエン","大阪府枚方市山田池東町18−35","1,014.42","0.10","34.82389446","135.6968748","","","","","1","","","1","","","","","","1","","","1","","","4","","","","","","","","","","","","","","","","573-0165","オオサカフ－ヒラカタシ－ヤマダイケヒガシマチ"
