"id","name","y","x","address","area","area_ha","is_evacuation_area","ブランコ_2","ブランコ_3","ブランコ_4","すべり台","鉄棒_1","鉄棒_2","鉄棒_3","鉄棒_4","鉄棒_5","シーソー","ジャングルジム","複合遊具","砂場","ラダー","健康遊具","プレイスカルプチャー(遊戯彫刻)","便所","水飲場","ベンチ","四阿","有料駐車場","無料駐車場","ソメイヨシノ","オオシマザクラ","カンヒザクラ","シダレザクラ","カワズザクラ","ヤマザクラ","桜_その他","桜_合計","桜_その他_品種","is_nice_scenery"
"70","香里ヶ丘南公園","34.7860374","135.6453645","大阪府枚方市香里ケ丘10丁目3735−12","19830.50","1.983","","","","1","1","","","1","","","1","1","","","","","","","1","4","","","","53","0","0","0","0","0","0","53","",""
"71","香里の森公園","34.7890981","135.6375818","大阪府枚方市香里園山之手町52−2","5190.81","0.519","","1","","","1","","1","","","","","","","1","","","","1","2","8","2","","","25","0","0","0","0","0","0","25","",""
"72","香里ヒルズ北公園","34.79756719","135.636241","大阪府枚方市東中振2丁目1−32","1257.67","0.126","","","","","1","","","","","","","1","","1","","","","","1","4","","","","","","","","","","","","",""
"73","香里ヒルズ中央公園","34.79466593","135.6402977","大阪府枚方市東中振2丁目28−3","2068.61","0.207","","","","1","1","","","1","","","","","","1","","","","","1","6","1","","","","","","","","","","","",""
"74","五常公園","34.79855533","135.6464949","大阪府枚方市香里ケ丘6丁目3−15","3097.60","0.31","","","","","1","","","1","","","","","1","1","","","","","1","5","","","","9","0","0","0","0","0","0","9","",""
"75","御殿山公園","34.82943287","135.6565378","大阪府枚方市渚本町12−60","702.7","0.07","","","","1","1","","","","","","","","","1","","","","","1","3","","","","10","0","0","0","0","0","0","10","",""
"76","阪今池公園","34.83978437","135.6646785","大阪府枚方市黄金野1丁目3−51","18854.47","1.885","○","","","","1","","","","","","","","1","1","","","","1","1","16","","","","15","0","0","0","0","0","0","15","",""
"77","桜丘公園","34.8057919","135.6682901","大阪府枚方市桜丘町45−2","635.53","0.064","","","","","1","","","","","","","","","1","","","","","1","3","1","","","3","0","0","0","0","4","0","7","",""
"78","桜公園","34.79434208","135.6536442","大阪府枚方市宮之下町24−1","6414.12","0.641","","","","","","","1","","","","","1","1","1","","","","","1","10","4","","","56","0","0","0","0","0","0","56","",""
"79","笹谷公園","34.84139938","135.7083187","大阪府枚方市長尾家具町2丁目14","6360.82","0.636","","1","","","1","","","","","","1","1","","1","","","","1","1","7","","","","7","0","0","0","0","4","0","11","",""
"80","蹉跎山公園","34.79091432","135.6438264","大阪府枚方市香里ケ丘8丁目27−7","4137.83","0.414","","","","1","1","","","1","","","","1","","1","","","","","1","10","","","","5","0","0","2","0","0","0","7","",""
"81","さつき丘北公園","34.80355485","135.6479253","大阪府枚方市山之上西町6−34","3056.78","0.306","","","","1","1","","","","","","1","1","","1","","","","","1","7","","","","22","0","0","0","0","0","0","22","ヤエザクラ",""
"82","さつき丘中央公園","34.80176061","135.6485058","大阪府枚方市山之上西町16−22","1104.97","0.11","","","1","","1","","","","","","","","","1","","","","","1","7","","","","1","0","0","0","0","0","0","1","",""
"83","さつき丘南公園","34.80006351","135.6472115","大阪府枚方市山之上5丁目37−1","1511.50","0.151","","","","","","","","","","","","","1","1","","","","","1","5","","","","9","0","0","0","0","0","0","9","",""
"84","獅子口公園","34.83659713","135.706208","大阪府枚方市長尾家具町4丁目15−20","3346.51","0.335","","","","1","1","","","","","","","1","","1","","","2","1","1","4","","","","9","0","0","0","0","0","0","9","",""
"85","鏡伝池緑地（市民の森）","34.8654391","135.6898442","大阪府枚方市楠葉丘2丁目10−1","28315.00","2.832","○","","","","","","1","","","","","","1","1","","","","2","1","17","1","","2","50","1","0","0","0","0","3","54","サトザクラ,淡墨桜",""
"86","下田公園","34.85695536","135.6800293","大阪府枚方市楠葉並木1丁目14−33","1038.10","0.104","","1","","","","","","","","","","","","1","","","","1","","2","","","","2","0","0","0","0","0","0","2","",""
"87","神社公園","34.86709112","135.6896299","大阪府枚方市楠葉丘2丁目18−1","1127.47","0.113","","","","","","","","","","","","","","","","","","1","","3","","","","17","0","0","0","0","0","0","17","",""
